code,name
BIS-001,Parle-G Gold Biscuit
BIS-002,Hide and Seek Biscuit
BIS-003,Bourbon Chocolate Biscuit
BIS-004,Good Day Butter Biscuit
BIS-005,Marie Gold Biscuit
BIS-006,Oreo Vanilla Biscuit
BIS-007,Dark Fantasy Biscuit
BIS-008,Unibic Choco Chip Cookies
SNP-101,Lays Magic Masala Chips
SNP-102,Kurkure Masala Munch
SNP-103,Balaji Wafers Salted
SNP-104,Haldiram Aloo Bhujia
SNP-105,Haldiram Moong Dal
SNP-106,Parle Monaco Salted
SNP-107,Too Yumm Multigrain Chips
DRY-201,Dairy Milk Silk Chocolate
DRY-202,KitKat 4 Finger
DRY-203,Munch Chocolate Bar
DRY-204,Eclairs Toffee Jar
DRY-205,Cadbury Celebrations Box
STA-301,Aashirvaad Atta 10kg
STA-302,India Gate Basmati Rice 25kg
STA-303,Fortune Sunflower Oil 5L
STA-304,Tata Salt 1kg
STA-305,Toor Dal Unpolished 5kg
STA-306,Chana Kabuli 5kg
STA-307,Sugar Refined 50kg
STA-308,Maggi 2 Minute Noodles 12 Pack
STA-309,Red Label Tea 1kg
STA-310,Nescafe Classic 200g
STA-311,Tata Sampann Turmeric 500g
STA-312,MDH Garam Masala 500g
STA-313,Amul Taaza Milk 1L
STA-314,Amul Butter 500g
STA-315,Curd Cup 400g
BEV-401,Coca-Cola 750ml
BEV-402,Pepsi 750ml
BEV-403,Sprite 2L
BEV-404,Frooti Mango 1L
BEV-405,Real Orange Juice 1L
BEV-406,Bisleri Water 20L Jar
BEV-407,Red Bull Energy Drink
BEV-408,Bru Instant Coffee 200g
HOU-501,Surf Excel 4kg
HOU-502,Ariel Detergent 3kg
HOU-503,Vim Bar Soap 4 Pack
HOU-504,Harpic Toilet Cleaner 1L
HOU-505,Lizol Floor Cleaner 2L
HOU-506,Colin Glass Cleaner 500ml
HOU-507,Odnosil Room Freshener
HOU-508,Scotch-Brite Scrub Pad 10 Pack
PER-601,Colgate MaxFresh 300g
PER-602,Close-Up Red Gel 300g
PER-603,Dove Soap Bar 4 Pack
PER-604,Lux Soap 3 Pack
PER-605,Parachute Coconut Oil 500ml
PER-606,Clinic Plus Shampoo 650ml
PER-607,Dettol Antiseptic Liquid 1L
PER-608,Nivea Body Lotion 400ml
BAB-701,Johnson Baby Powder 500g
BAB-702,Pampers Diapers M 20 Pack
BAB-703,Cerelac Wheat Stage 1
BAB-704,Lactogen Infant Formula 400g
FRO-801,Amul Ice Cream Family Pack
FRO-802,Kwality Walls Cornetto 4 Pack
FRO-803,ITC Frozen Peas 1kg
FRO-804,McCain French Fries 2kg
PAK-901,Bubble Wrap Roll 100m
PAK-902,BOPP Tape 3 Inch 6 Pack
PAK-903,Corrugated Box 12x12x12
PAK-904,Shrink Wrap Roll
PAK-905,PP Strapping Roll
PAK-906,Barcode Labels Roll
PAK-907,Weighing Scale 100kg
PAK-908,Hand Pallet Truck Service
CLN-911,Gala Brush Toilet Set
CLN-912, phenyl Concentrate 5L
CLN-913,Garbage Bags 19x21 100 Pack
CLN-914,Microfiber Cloth 12 Pack
OFF-921,A4 Copier Paper 75 GSM Box
OFF-922,Ball Pen Blue 50 Pack
OFF-923,Sticky Notes 4 Pad Set
OFF-924,Box File Folder 10 Pack
